generation,leftchild,rightchild,abstime,betainit,betashift
1500000,RfanJLB07_19_0398_ADJI,EcaptJB0004n1_0239_ACDJ,0,0.330809,-0.0148329
1500000,RimitJLB07_42_0404_AEAE,RimitET_16_061_0915_AJBF,10.1289,0.999535,0.0715161
1530000,RfanJLB07_19_0398_ADJI,EcaptJB0004n1_0239_ACDJ,0,0.154409,0.078422
1560000,RfanJLB07_19_0398_ADJI,EcaptJB0004n1_0239_ACDJ,0,0.464646,-0.0287237
1590000,RfanJLB07_19_0398_ADJI,EcaptJB0004n1_0239_ACDJ,0,0.377024,-0.0156056
1620000,RfanJLB07_19_0398_ADJI,EcaptJB0004n1_0239_ACDJ,0,0.186392,0.0688775
1620000,Rsumm_0108_ABAI,RfantJLB07_041_0068_AAGI,13.448,1.05609,-0.114647
1620000,RtoraIP_MTR28544_0631_AGDB,NA,13.9465,0.0218159,-0.21601
1620000,Rbiol_0053_AAFD,NA,13.0958,0.638599,-0.120064
1650000,RfanJLB07_19_0398_ADJI,EcaptJB0004n1_0239_ACDJ,0,0.140859,0.0483644
1650000,RfantJLB07_046_0069_AAGJ,NA,14.3981,5.75161,-0.0802056
1650000,Rvari_0123_ABCD,NA,13.8784,0.578989,-0.0198225
1650000,RvariSCF2014_0900_AJAA,NA,13.451,0.132785,0.13802
1680000,RfanJLB07_19_0398_ADJI,EcaptJB0004n1_0239_ACDJ,0,0.501119,-0.0323456
1710000,RfanJLB07_19_0398_ADJI,EcaptJB0004n1_0239_ACDJ,0,2.92826,-0.163133
1710000,Rsp32904_0407_AEAH,NA,13.0828,0.808476,-0.0982685
1710000,RimitJLB07_42_0404_AEAE,RimitET_16_061_0915_AJBF,11.8699,0.609196,0.0930055
1710000,Rlama_0093_AAJD,RsireJLB07_031_0104_ABAE,12.7172,1.06902,0.121287
1710000,RvanzJLB17_150_0826_AICG,NA,14.5615,0.381568,-0.130157
1740000,RfanJLB07_19_0398_ADJI,EcaptJB0004n1_0239_ACDJ,0,0.223074,0.0707296
1770000,RfanJLB07_19_0398_ADJI,EcaptJB0004n1_0239_ACDJ,0,0.23829,0.0438668
1800000,RfanJLB07_19_0398_ADJI,EcaptJB0004n1_0239_ACDJ,0,0.384694,-0.0438748
1800000,Rvent_0165_ABGF,NA,13.0809,0.803862,-0.0428538
1800000,RimitJLB07_49_2_0655_AGFF,NA,14.2978,2.45526,-0.0506607
1830000,RfanJLB07_19_0398_ADJI,EcaptJB0004n1_0239_ACDJ,0,0.210648,0.169593
1860000,RfanJLB07_19_0398_ADJI,EcaptJB0004n1_0239_ACDJ,0,0.621109,-0.0420223
1890000,RfanJLB07_19_0398_ADJI,EcaptJB0004n1_0239_ACDJ,0,0.187028,0.131577
1890000,RuakaJLB17_142_0815_AIBF,Ruaka_0115_ABBF,12.7427,0.950034,0.125185
1890000,RventJLB06_012_0170_ABHA,NA,14.6105,0.889199,0.0898293
