generation,leftchild,rightchild,abstime,betainit,betashift
570000,Rsumm_0108_ABAI,RfantJLB07_041_0068_AAGI,13.5195,2.1075,0.214929
570000,RimitJLB17_089_0588_AFII,NA,13.5955,2.06048,0.0312542
600000,RfanJLB07_19_0398_ADJI,EcaptJB0004n1_0239_ACDJ,0,0.00138744,0.0708292
600000,Rfant_0062_AAGC,NA,14.4454,1.61868,0.0692682
600000,Rsumm_0108_ABAI,RfantJLB07_998_0073_AAHD,13.0724,0.594478,-0.0711257
600000,RimitJLB17_089_0588_AFII,NA,13.4283,0.777571,0.0151941
630000,RfanJLB07_19_0398_ADJI,EcaptJB0004n1_0239_ACDJ,0,0.0016004,-0.000356493
630000,Rfant_0062_AAGC,NA,14.3129,1.97855,0.077514
630000,Rsumm_0108_ABAI,RfantJLB07_998_0073_AAHD,12.99,1.03805,-0.0417273
630000,Ruaka_0114_ABBE,NA,14.6522,0.576968,-0.0254765
630000,RimitJLB17_089_0588_AFII,NA,13.8992,1.50546,-0.0343563
660000,RfanJLB07_19_0398_ADJI,EcaptJB0004n1_0239_ACDJ,0,0.0013228,0.0443512
660000,RfanJLB07_19_0398_ADJI,Rsumm_0108_ABAI,12.3293,0.507623,0.093977
660000,RimitJLB17_089_0588_AFII,NA,13.9413,2.44429,-0.0219987
690000,RfanJLB07_19_0398_ADJI,EcaptJB0004n1_0239_ACDJ,0,0.00408982,-0.0690079
690000,Rfant_0062_AAGC,NA,13.9588,0.35392,0.044885
690000,Rsumm_0108_ABAI,RfantJLB07_998_0073_AAHD,12.9865,0.445419,0.0326813
690000,RventLSUMZ_15778_0620_AGCA,NA,13.4238,0.0853683,-0.0173999
690000,RimitJLB17_089_0588_AFII,NA,13.7909,1.32097,-0.0409331
720000,RfanJLB07_19_0398_ADJI,EcaptJB0004n1_0239_ACDJ,0,0.00073789,0.082432
720000,Rfant_0062_AAGC,NA,13.9993,0.503275,-0.172474
720000,Rsumm_0108_ABAI,RfantJLB07_041_0068_AAGI,13.6695,1.48869,0.0445531
720000,RimitJLB17_089_0588_AFII,NA,13.814,0.65084,-0.071209
750000,RfanJLB07_19_0398_ADJI,EcaptJB0004n1_0239_ACDJ,0,0.00144625,0.0233435
750000,Rfant_0062_AAGC,NA,13.6097,0.318415,-0.0850708
750000,Rsumm_0108_ABAI,RfantJLB07_041_0068_AAGI,13.6076,0.779127,-0.00567465
750000,RbeniJB0027_0050_AAFA,NA,14.4451,0.254486,-0.123618
750000,RimitJLB17_089_0588_AFII,NA,13.5861,0.883046,0.00851543
780000,RfanJLB07_19_0398_ADJI,EcaptJB0004n1_0239_ACDJ,0,0.000960621,0.105433
780000,Rfant_0062_AAGC,NA,13.5679,0.81959,0.0591291
780000,Rsumm_0108_ABAI,RfantJLB07_998_0073_AAHD,12.9816,0.373915,0.0471855
780000,RimitJLB17_089_0588_AFII,NA,13.6338,0.438751,-0.0240911
810000,RfanJLB07_19_0398_ADJI,EcaptJB0004n1_0239_ACDJ,0,0.00132689,0.0240082
810000,Rfant_0062_AAGC,NA,14.1586,0.91295,0.000166794
810000,Rsumm_0108_ABAI,RfantJLB07_041_0068_AAGI,13.4251,0.665565,-0.142812
810000,RimitJLB17_089_0588_AFII,NA,13.6744,0.85996,0.0627854
840000,RfanJLB07_19_0398_ADJI,EcaptJB0004n1_0239_ACDJ,0,0.00160486,0.0295214
840000,Rfant_0062_AAGC,NA,13.5587,1.85308,-0.0593844
840000,Rsumm_0108_ABAI,RfantJLB07_041_0068_AAGI,13.4682,0.843772,0.0178332
840000,RdeflJLB08_005_0055_AAFF,RdeflJLB08_008_0057_AAFH,11.0462,0.00242822,0.00501374
840000,RimitJLB17_089_0588_AFII,NA,14.1586,0.969085,0.0054743
870000,RfanJLB07_19_0398_ADJI,EcaptJB0004n1_0239_ACDJ,0,0.0011938,0.133244
870000,Rfant_0062_AAGC,NA,13.6251,0.488921,-0.289061
870000,Rsumm_0108_ABAI,RfantJLB07_998_0073_AAHD,12.9293,0.491187,0.0561514
870000,RimitJLB17_089_0588_AFII,NA,13.9834,2.19159,-0.0569172
870000,Mminu_0244_ACEE,NA,10.1782,0.00158006,0.00415482
870000,EcaptJB0004n1_0239_ACDJ,NA,12.3606,0.515723,-0.0814502
900000,RfanJLB07_19_0398_ADJI,EcaptJB0004n1_0239_ACDJ,0,0.00255933,-0.0238853
900000,Rfant_0062_AAGC,NA,13.7971,0.813929,0.0826426
900000,Rsumm_0108_ABAI,RfantJLB07_998_0073_AAHD,12.9323,0.499765,-0.0381412
900000,RimitJLB07_42_0404_AEAE,RimitJLB17_089_0588_AFII,13.1994,0.504909,0.00546886
930000,RfanJLB07_19_0398_ADJI,EcaptJB0004n1_0239_ACDJ,0,0.00306697,-0.0868328
930000,Rfant_0062_AAGC,NA,13.6008,0.496267,0.0414538
930000,Rsumm_0108_ABAI,RfantJLB07_041_0068_AAGI,13.3993,1.30851,0.0457829
930000,RimitJLB07_42_0404_AEAE,RimitET_16_061_0915_AJBF,11.8346,0.46595,0.0796739
960000,RfanJLB07_19_0398_ADJI,EcaptJB0004n1_0239_ACDJ,0,0.00246784,-0.0430471
960000,Rfant_0062_AAGC,NA,14.3597,0.404192,0.130856
960000,Rsumm_0108_ABAI,RfantJLB07_041_0068_AAGI,13.4183,1.08326,-0.03708
960000,Ruaka_0119_ABBJ,Ruaka_0121_ABCB,13.8538,0.0232228,0.0225949
960000,RimitJLB17_089_0588_AFII,NA,13.4551,0.462711,-0.0165402
990000,RfanJLB07_19_0398_ADJI,EcaptJB0004n1_0239_ACDJ,0,0.00238306,-0.0293558
990000,Rfant_0062_AAGC,NA,14.2457,0.771875,0.0209592
990000,Rsumm_0108_ABAI,RfantJLB07_041_0068_AAGI,13.4622,0.523031,0.0937258
990000,RuakaJLB17_142_0815_AIBF,NA,13.9066,0.450343,-0.00350357
990000,RtoraIP_MTR28544_0631_AGDB,NA,13.6312,0.590638,-0.0600061
990000,RimitJLB17_089_0588_AFII,NA,14.1727,1.45749,-0.0480712
990000,EcaptJB0004n1_0239_ACDJ,NA,4.12568,0.384828,0.10333
1020000,RfanJLB07_19_0398_ADJI,EcaptJB0004n1_0239_ACDJ,0,0.00322468,-0.0292843
1020000,Rfant_0062_AAGC,NA,13.6081,0.252898,0.0130793
1020000,Rsumm_0108_ABAI,RfantJLB07_041_0068_AAGI,13.6372,1.77872,-0.0667437
1020000,RflavJLB17_052_0456_AEFG,NA,14.4447,0.0889566,0.0898486
1020000,RimitJLB17_089_0588_AFII,NA,13.4212,1.13329,-0.00583383
1050000,RfanJLB07_19_0398_ADJI,EcaptJB0004n1_0239_ACDJ,0,0.00166591,-0.00822722
1050000,Rfant_0062_AAGC,NA,14.0444,0.502641,0.0614728
1050000,Rsumm_0108_ABAI,RfantJLB07_998_0073_AAHD,13.0538,0.309011,0.0768683
1050000,RimitJLB17_089_0588_AFII,NA,13.8274,1.27609,0.00885498
1080000,RfanJLB07_19_0398_ADJI,EcaptJB0004n1_0239_ACDJ,0,0.00139195,0.0152371
1080000,RfanJLB07_19_0398_ADJI,Rfant_0062_AAGC,13.2336,0.37162,-0.0173951
1080000,Rsumm_0108_ABAI,RfantJLB07_998_0073_AAHD,13.234,0.713565,-0.00682515
1080000,RimitJLB17_089_0588_AFII,NA,13.4812,0.888364,0.0171034
1110000,RfanJLB07_19_0398_ADJI,EcaptJB0004n1_0239_ACDJ,0,0.00161522,0.0539247
1110000,Rfant_0062_AAGC,NA,13.8205,0.330482,0.174066
1110000,Rsumm_0108_ABAI,RfantJLB07_041_0068_AAGI,13.6193,2.06875,-0.170962
1110000,RdeflJLB08_005_0055_AAFF,RdeflJLB08_008_0057_AAFH,9.33038,0.00276133,-0.0673831
1110000,RimitJLB17_089_0588_AFII,NA,13.8429,2.21006,0.00746176
1140000,RfanJLB07_19_0398_ADJI,EcaptJB0004n1_0239_ACDJ,0,0.00118226,0.0330684
1140000,Rfant_0062_AAGC,NA,13.6767,0.187393,-0.162697
1140000,Rsumm_0108_ABAI,RfantJLB07_998_0073_AAHD,12.9038,0.589429,-0.160908
1140000,Ruaka_0119_ABBJ,NA,14.5678,0.0413458,0.0507445
1140000,RimitJLB17_089_0588_AFII,NA,13.3964,0.615082,-0.0930451
1170000,RfanJLB07_19_0398_ADJI,EcaptJB0004n1_0239_ACDJ,0,0.00113834,0.0772
1170000,Rfant_0062_AAGC,NA,14.0288,0.416297,0.0457729
1170000,Rsumm_0108_ABAI,RfantJLB07_998_0073_AAHD,13.0955,0.822056,-0.0220943
1170000,RimitJLB17_089_0588_AFII,NA,13.4225,1.02392,0.0842675
1200000,RfanJLB07_19_0398_ADJI,EcaptJB0004n1_0239_ACDJ,0,0.000861375,0.13776
1200000,Rfant_0062_AAGC,NA,13.782,0.715724,-0.0145588
1200000,Rsumm_0108_ABAI,RfantJLB07_041_0068_AAGI,13.606,0.955631,0.0604549
1200000,RimitJLB17_089_0588_AFII,NA,14.082,1.06942,0.0535334
1230000,RfanJLB07_19_0398_ADJI,EcaptJB0004n1_0239_ACDJ,0,0.00127728,0.0599802
1230000,Rfant_0062_AAGC,NA,13.7695,0.330101,0.0783044
1230000,Rsumm_0108_ABAI,RfantJLB07_998_0073_AAHD,13.0605,0.990211,-0.0667042
1230000,RimitJLB17_089_0588_AFII,NA,13.4701,0.504001,0.161973
1260000,RfanJLB07_19_0398_ADJI,EcaptJB0004n1_0239_ACDJ,0,0.00142752,0.0214735
1260000,RfanJLB07_19_0398_ADJI,Rsumm_0108_ABAI,12.3112,0.467823,-0.0318892
1260000,Rflav_0076_AAHG,NA,14.4263,0.40854,0.0262769
1260000,RimitJLB07_42_0404_AEAE,RimitET_16_061_0915_AJBF,11.863,0.290705,-0.00154603
1290000,RfanJLB07_19_0398_ADJI,EcaptJB0004n1_0239_ACDJ,0,0.00127343,0.0509419
1290000,Rfant_0062_AAGC,NA,13.8543,0.0924973,0.169979
1290000,Rfant_0062_AAGC,NA,13.878,0.665402,-0.0044565
1290000,Rsumm_0108_ABAI,RfantJLB07_041_0068_AAGI,13.6638,1.81791,-0.0632772
1290000,RimitJLB17_089_0588_AFII,NA,14.311,1.17604,0.0521319
1320000,RfanJLB07_19_0398_ADJI,EcaptJB0004n1_0239_ACDJ,0,0.00108027,0.113751
1320000,RfanJLB07_19_0398_ADJI,Rfant_0062_AAGC,13.3179,0.441416,-0.0763739
1320000,Rsumm_0108_ABAI,RfantJLB07_041_0068_AAGI,13.382,0.720299,-0.0404472
1320000,RimitJLB17_089_0588_AFII,NA,13.6775,0.905862,-0.0954895
1350000,RfanJLB07_19_0398_ADJI,EcaptJB0004n1_0239_ACDJ,0,0.00142937,0.0208257
1350000,Rfant_0062_AAGC,NA,13.8341,0.616825,-0.00174839
1350000,Rsumm_0108_ABAI,RfantJLB07_998_0073_AAHD,13.3093,1.76898,0.0303334
1350000,Rsumm_0108_ABAI,RfantJLB07_041_0068_AAGI,13.6569,0.00682397,0.0452376
1350000,RimitJLB17_089_0588_AFII,NA,13.6092,2.0735,-0.089338
1350000,EcaptJB0004n1_0239_ACDJ,NA,13.8094,0.0663081,-0.0615246
1380000,RfanJLB07_19_0398_ADJI,EcaptJB0004n1_0239_ACDJ,0,0.00119769,0.0976012
1380000,Rfant_0062_AAGC,NA,13.571,0.891293,0.0500604
1380000,Rsumm_0108_ABAI,RfantJLB07_998_0073_AAHD,13.0238,1.26037,0.0327333
1380000,RimitJLB17_089_0588_AFII,NA,13.8227,0.914857,-0.110503
1410000,RfanJLB07_19_0398_ADJI,EcaptJB0004n1_0239_ACDJ,0,0.000935939,0.120573
1410000,Rfant_0062_AAGC,NA,14.1771,0.526394,0.0567109
